Name, Windspeed, Date
UNNAMED, 25, 19001012
UNNAMED, 25, 19010613
UNNAMED, 25, 19010810
UNNAMED, 50, 19010917
UNNAMED, 45, 19010928
UNNAMED, 30, 19020614
UNNAMED, 40, 19021010
UNNAMED, 30, 19030911
UNNAMED, 20, 19041017
UNNAMED, 35, 19041103
UNNAMED, 30, 19060612
UNNAMED, 30, 19060617
UNNAMED, 25, 19061018
UNNAMED, 30, 19070628
UNNAMED, 30, 19070928
UNNAMED, 30, 19090628
UNNAMED, 30, 19090829
UNNAMED, 30, 19091011
UNNAMED, 35, 19101018
UNNAMED, 20, 19110811
UNNAMED, 25, 19140917
UNNAMED, 30, 19150801
UNNAMED, 20, 19150904
UNNAMED, 40, 19160514
UNNAMED, 30, 19160825
UNNAMED, 25, 19161018
UNNAMED, 30, 19170929
UNNAMED, 20, 19190704
UNNAMED, 20, 19190910
UNNAMED, 45, 19200930
UNNAMED, 40, 19211025
UNNAMED, 50, 19240915
UNNAMED, 55, 19240929
UNNAMED, 30, 19241021
UNNAMED, 30, 19251201
UNNAMED, 25, 19260728
UNNAMED, 25, 19260918
UNNAMED, 35, 19280808
UNNAMED, 20, 19280813
UNNAMED, 25, 19280917
UNNAMED, 35, 19290928
UNNAMED, 30, 19300909
UNNAMED, 45, 19320830
UNNAMED, 35, 19320915
UNNAMED, 35, 19330730
UNNAMED, 20, 19330904
UNNAMED, 30, 19341006
UNNAMED, 50, 19350903
UNNAMED, 20, 19351104
UNNAMED, 40, 19360615
UNNAMED, 30, 19360729
UNNAMED, 25, 19360821
UNNAMED, 30, 19370729
UNNAMED, 20, 19370830
UNNAMED, 20, 19370920
UNNAMED, 20, 19390616
UNNAMED, 30, 19390811
UNNAMED, 35, 19411006
UNNAMED, 20, 19411020
UNNAMED, 30, 19441018
UNNAMED, 25, 19450624
UNNAMED, 20, 19450905
UNNAMED, 35, 19450915
UNNAMED, 25, 19461008
UNNAMED, 20, 19461101
UNNAMED, 20, 19470917
UNNAMED, 35, 19470923
UNNAMED, 20, 19471007
UNNAMED, 25, 19471012
UNNAMED, 15, 19480709
UNNAMED, 45, 19480921
UNNAMED, 40, 19481005
UNNAMED, 50, 19490826
EASY, 20, 19500905
KING, 20, 19501018
LOVE, 30, 19501021
HOW, 50, 19511002
ALICE, 20, 19530606
UNNAMED, 25, 19530920
FLORENCE, 40, 19530926
HAZEL, 45, 19531009
FLOSSY, 40, 19560925
UNNAMED, 45, 19561015
UNNAMED, 25, 19570609
DEBBIE, 25, 19570908
UNNAMED, 30, 19590618
IRENE, 20, 19591008
JUDITH, 30, 19591018
BRENDA, 20, 19600729
DONNA, 40, 19600910
CLEO, 25, 19640827
DORA, 55, 19640910
ISBELL, 35, 19641014
UNNAMED, 30, 19650615
BETSY, 20, 19650908
UNNAMED, 20, 19651018
BARRY, 25, 19830825
ISABEL, 25, 19851010
KATE, 35, 19851121
FLOYD, 40, 19871012
KEITH, 65, 19881123
ANDREW, 20, 19920824
ALBERTO, 10, 19940703
BERYL, 15, 19940816
GORDON, 20, 19941115
ALLISON, 35, 19950605
ERIN, 20, 19950802
JERRY, 20, 19950823
OPAL, 30, 19951004
JOSEPHINE, 30, 19961008
EARL, 35, 19980903
GEORGES, 20, 19980925
MITCH, 55, 19981105
HARVEY, 40, 19990921
IRENE, 80, 19991015
GORDON, 30, 20000918
HELENE, 45, 20000922
BARRY, 10, 20010806
GABRIELLE, 55, 20010914
EDOUARD, 20, 20020905
HENRI, 25, 20030906
BONNIE, 20, 20040812
CHARLEY, 30, 20040813
FRANCES, 20, 20040905
JEANNE, 35, 20040926
ARLENE, 20, 20050611
DENNIS, 10, 20050710
KATRINA, 25, 20050825
TAMMY, 10, 20051005
WILMA, 40, 20051024
ALBERTO, 30, 20060613
ERNESTO, 20, 20060830
BARRY, 30, 20070602
TEN, 20, 20070922
FAY, 15, 20080818
CLAUDETTE, 20, 20090817
BONNIE, 15, 20100723
BERYL, 35, 20120528
DEBBY, 30, 20120626
ANDREA, 40, 20130606
COLIN, 45, 20160607
HERMINE, 20, 20160902
JULIA, 20, 20160913
EMILY, 30, 20170731
IRMA, 15, 20170910
ALBERTO, 30, 20180528
GORDON, 15, 20180903
MICHAEL, 35, 20181010
